Data,MEMO,Valor,Saldo
02/09/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-38.308,97","31.309,47"
03/09/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-6.720,00","24.589,47"
05/09/2024,APLICACAO FINANCEIRA - CAPTACAO,"2.953,56","27.543,03"
10/09/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.567,23","29.110,26"
12/09/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.751,75","30.862,01"
13/09/2024,APLICACAO FINANCEIRA - CAPTACAO,"3.163,70","34.025,71"
16/09/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.984,80","32.040,91"
17/09/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-261,23","31.779,68"
20/09/2024,APLICACAO FINANCEIRA - CAPTACAO,"980,86","32.760,54"
24/09/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.499,00","31.261,54"
25/09/2024,APLICACAO FINANCEIRA - CAPTACAO,"8.320,27","39.581,81"
26/09/2024,APLICACAO FINANCEIRA - CAPTACAO,"220,00","39.801,81"
27/09/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.263,24","41.065,05"
30/09/2024,APLICACAO FINANCEIRA - CAPTACAO,"495,00","41.560,05"
30/09/2024,juros bancários,"438,94","41.998,99"
01/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-6.797,40","35.201,59"
03/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-5.853,44","29.348,15"
07/10/2024,APLICACAO FINANCEIRA - CAPTACAO,"3.079,41","32.427,56"
10/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-378,36","32.049,20"
10/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-988,68","31.060,52"
10/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-5.490,12","25.570,40"
10/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.270,42","24.299,98"
10/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-498,10","23.801,88"
10/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.969,55","20.832,33"
10/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.414,77","19.417,56"
11/10/2024,APLICACAO FINANCEIRA - CAPTACAO,"2.799,32","22.216,88"
14/10/2024,APLICACAO FINANCEIRA - CAPTACAO,"49.611,69","71.828,57"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-160,05","71.668,52"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.760,50","69.908,02"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-3.178,85","66.729,17"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-983,92","65.745,25"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-8.337,32","57.407,93"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-220,40","57.187,53"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.265,23","55.922,30"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-495,60","55.426,70"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-3.080,51","52.346,19"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.799,50","49.546,69"
15/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-26.675,26","22.871,43"
16/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-777,52","22.093,91"
17/10/2024,APLICACAO FINANCEIRA - CAPTACAO,"3.728,12","25.822,03"
18/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-917,14","24.904,89"
21/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-639,45","24.265,44"
22/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-38,00","24.227,44"
23/10/2024,APLICACAO FINANCEIRA - CAPTACAO,"999,00","25.226,44"
25/10/2024,APLICACAO FINANCEIRA - CAPTACAO,"6.262,24","31.488,68"
28/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-7.288,19","24.200,49"
29/10/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.262,24","25.462,73"
30/10/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-324,00","25.138,73"
31/10/2024,juros bancários,"102,17","25.240,90"
01/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-88,81","25.152,09"
04/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-320,00","24.832,09"
05/11/2024,APLICACAO FINANCEIRA - CAPTACAO,"444,06","25.276,15"
06/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-4.764,20","20.511,95"
07/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.200,00","19.311,95"
11/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-614,17","18.697,78"
12/11/2024,APLICACAO FINANCEIRA - CAPTACAO,"5.460,22","24.158,00"
14/11/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.350,00","25.508,00"
18/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.659,03","23.848,97"
19/11/2024,APLICACAO FINANCEIRA - CAPTACAO,"3.160,90","27.009,87"
21/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-4.369,02","22.640,85"
21/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.192,68","21.448,17"
22/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.555,06","18.893,11"
22/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.003,45","17.889,66"
22/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-5.297,29","12.592,37"
25/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-989,08","11.603,29"
25/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-663,13","10.940,16"
26/11/2024,APLICACAO FINANCEIRA - CAPTACAO,"15.912,87","26.853,03"
27/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-199,00","26.654,03"
28/11/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-99,64","26.554,39"
29/11/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.679,67","28.234,06"
30/11/2024,Juros Bancários,"95,46","28.329,52"
2/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-287,21","28.042,31"
3/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-18,31","28.024,00"
3/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-445,77","27.578,23"
3/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-5.068,32","22.509,91"
4/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-403,36","22.106,55"
4/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-546,64","21.559,91"
5/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-806,03","20.753,88"
5/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-3.165,18","17.588,70"
5/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-4.041,10","13.547,60"
9/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-5.324,24","8.223,36"
10/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-11,00","8.212,36"
11/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.013,53","7.198,83"
12/12/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.709,56","8.908,39"
13/12/2024,APLICACAO FINANCEIRA - CAPTACAO,"6.028,40","14.936,79"
16/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-5.543,02","9.393,77"
16/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.682,12","7.711,65"
16/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.709,69","6.001,96"
16/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.052,25","3.949,71"
18/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-737,31","3.212,40"
19/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-275,00","2.937,40"
20/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-69,37","2.868,03"
24/12/2024,APLICACAO FINANCEIRA - CAPTACAO,"18.881,71","21.749,74"
26/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.550,25","19.199,49"
27/12/2024,APLICACAO FINANCEIRA - CAPTACAO,"7.794,37","26.993,86"
30/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-347,19","26.646,67"
30/12/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-663,64","25.983,03"
31/12/2024,Juros Bancários,"35,75","26.018,78"
2/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-7.493,36","18.525,42"
3/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-267,49","18.257,93"
6/1/2025,APLICACAO FINANCEIRA - CAPTACAO,"2.953,41","21.211,34"
7/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-10.469,98","10.741,36"
7/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-7.798,65","2.942,71"
7/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.798,51","1.144,20"
10/1/2025,APLICACAO FINANCEIRA - CAPTACAO,"3.579,56","4.723,76"
13/1/2025,APLICACAO FINANCEIRA - CAPTACAO,"1.814,77","6.538,53"
16/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-789,17","5.749,36"
17/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-366,60","5.382,76"
17/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.133,40","3.249,36"
20/1/2025,APLICACAO FINANCEIRA - CAPTACAO,"13.804,88","17.054,24"
21/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.447,73","15.606,51"
21/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.815,50","13.791,01"
21/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.776,02","11.014,99"
22/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-200,00","10.814,99"
23/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-383,62","10.431,37"
24/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-5.704,85","4.726,52"
28/1/2025,APLICACAO FINANCEIRA - CAPTACAO,"5.012,23","9.738,75"
29/1/2025,APLICACAO FINANCEIRA - CAPTACAO,"1.263,24","11.001,99"
30/1/2025,APLICACAO FINANCEIRA - CAPTACAO,"367,43","11.369,42"
31/1/2025,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-799,00","10.570,42"
31/1/2025,Juros Bancários,"19,71","10.590,13"
03/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16736833036,"-1.301,93","9.288,20"
04/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16753002954,"-2.646,24","6.641,96"
04/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16753002968,"-5.013,79","1.628,17"
04/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16753002980,"-418,31","1.209,86"
05/02/2025,APLICACAO FINANCEIRA-CAPTACAO - 16767961677,"5.832,86","7.042,72"
07/02/2025,APLICACAO FINANCEIRA-CAPTACAO - 16816817997,"63.218,39","70.261,11"
10/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16830828835,"-845,74","69.415,37"
10/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16830828855,"-367,69","69.047,68"
10/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16830828868,"-5.833,66","63.214,02"
10/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16830828879,"-5.277,57","57.936,45"
11/02/2025,APLICACAO FINANCEIRA-CAPTACAO - 16844152138,"3.464,82","61.401,27"
12/02/2025,APLICACAO FINANCEIRA-CAPTACAO - 16855510939,"1.856,08","63.257,35"
13/02/2025,APLICACAO FINANCEIRA-CAPTACAO - 16867936209,"1.899,58","65.156,93"
14/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16894324881,"-4.343,38","60.813,55"
17/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16905731462,"-45.347,61","15.465,94"
20/02/2025,APLICACAO FINANCEIRA-CAPTACAO - 16942793622,"16.845,95","32.311,89"
21/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16966719852,"-8.286,37","24.025,52"
21/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 16966719864,"-2.966,12","21.059,40"
25/02/2025,APLICACAO FINANCEIRA-CAPTACAO - 16990201969,"25.394,70","46.454,10"
26/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17001831081,"-501,59","45.952,51"
26/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17001831093,"-1.858,41","44.094,10"
26/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17001831107,"-1.901,59","42.192,51"
26/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17001831119,"-16.849,54","25.342,97"
26/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17001831135,"-3.412,72","21.930,25"
27/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17016909458,"-3.200,00","18.730,25"
28/02/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17058093314,"-1.626,33","17.103,92"
28/02/2025,Juros Bancários,"53,86","17.157,78"
28/2/2025,Ajuste de Saldo,"-0,01","17.157,77"
05/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17082673973,"-9.365,48","7.792,29"
06/03/2025,APLICACAO FINANCEIRA-CAPTACAO - 17102917299,"9.762,24","17.554,53"
07/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17137294818,"-7.797,41","9.757,12"
07/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17137294837,"-3.619,08","6.138,04"
10/03/2025,APLICACAO FINANCEIRA-CAPTACAO - 17151541439,"5.888,10","12.026,14"
12/03/2025,APLICACAO FINANCEIRA-CAPTACAO - 17177770421,"11.220,72","23.246,86"
13/03/2025,APLICACAO FINANCEIRA-CAPTACAO - 17190788619,"3.400,63","26.647,49"
17/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17229818931,"-955,28","25.692,21"
18/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17241492599,"-774,68","24.917,53"
20/03/2025,APLICACAO FINANCEIRA-CAPTACAO - 17267742731,"10.104,20","35.021,73"
21/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17291787277,"-2.754,00","32.267,73"
24/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17303904159,"-1.667,86","30.599,87"
24/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17303904172,"-5.095,83","25.504,04"
25/03/2025,APLICACAO FINANCEIRA-CAPTACAO - 17315307595,"5.012,23","30.516,27"
26/03/2025,APLICACAO FINANCEIRA-CAPTACAO - 17326548519,"475,15","30.991,42"
28/03/2025,APLICACAO FINANCEIRA-CAPTACAO - 17364837717,"517,43","31.508,85"
31/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17378595631,"-801,06","30.707,79"
31/03/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17378595650,"-521,95","30.185,84"
31/03/2025,Juros Bancários,"67,90","30.253,74"
1/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17398976028,"-10.727,83","19.525,91"
1/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17398976125,"-625,08","18.900,83"
3/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17429464916,"-327,31","18.573,52"
7/4/2025,APLICACAO FINANCEIRA-CAPTACAO - 17474294694,"1.030,18","19.603,70"
9/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17505974944,"-349,00","19.254,70"
10/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17519689547,"-11,00","19.243,70"
11/4/2025,APLICACAO FINANCEIRA-CAPTACAO - 17547302722,"5.320,90","24.564,60"
15/4/2025,APLICACAO FINANCEIRA-CAPTACAO - 17575143501,"4.520,35","29.084,95"
17/4/2025,APLICACAO FINANCEIRA-CAPTACAO - 17625255109,"6.230,42","35.315,37"
22/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17637376216,"-2.107,77","33.207,60"
22/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17637376236,"-10.164,90","23.042,70"
22/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17637376259,"-803,24","22.239,46"
23/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17648919564,"-25,00","22.214,46"
24/4/2025,APLICACAO FINANCEIRA-CAPTACAO - 17662254534,"11.150,20","33.364,66"
25/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17686163144,"-4.213,15","29.151,51"
25/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17686163157,"-477,86","28.673,65"
25/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17686163171,"-519,94","28.153,71"
25/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17686163186,"-1.032,30","27.121,41"
25/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17686163197,"-2.989,94","24.131,47"
28/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17698156898,"-2.337,60","21.793,87"
28/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17698156915,"-4.524,33","17.269,54"
28/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17698156927,"-6.233,72","11.035,82"
28/4/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17698156936,"-5.054,35","5.981,47"
29/4/2025,APLICACAO FINANCEIRA-CAPTACAO - 17713511287,"6.275,47","12.256,94"
30/4/2025,APLICACAO FINANCEIRA-CAPTACAO - 17734006536,"517,43","12.774,37"
30/4/2025,Juros Bancários,"116,69","12.891,06"
2/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17771036456,"-6.038,78","6.852,28"
5/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17787219552,"-59,85","6.792,43"
5/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17787219570,"-2.999,17","3.793,26"
6/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 17804320846,"11.378,51","15.171,77"
7/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17818859522,"-1.319,00","13.852,77"
8/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17833865449,"-1.959,35","11.893,42"
8/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17833865463,"-517,64","11.375,78"
8/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17833865478,"-1.688,18","9.687,60"
12/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 17879083047,"1.071,08","10.758,68"
13/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 17892566021,"3.550,63","14.309,31"
14/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 17906963967,"39.097,28","53.406,59"
15/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17919749812,"-9.696,35","43.710,24"
15/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17919749828,"-1.071,19","42.639,05"
15/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17919749836,"-3.550,78","39.088,27"
15/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17919749853,"-19.690,19","19.398,08"
19/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 17958209283,"-1.050,00","18.348,08"
20/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 17969888463,"8.014,96","26.363,04"
21/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 17980991721,"8.270,54","34.633,58"
22/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 17992945271,"11.273,20","45.906,78"
23/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18017284275,"-399,00","45.507,78"
26/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 18028300008,"5.122,46","50.630,24"
27/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18039525670,"-6.712,85","43.917,39"
28/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18050439254,"-1.800,00","42.117,39"
29/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 18064662237,"1.262,24","43.379,63"
30/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18085037314,"-9.474,31","33.905,32"
30/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18085037394,"-8.021,39","25.883,93"
30/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18085037416,"-8.275,67","17.608,26"
30/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18085037442,"-11.278,59","6.329,67"
30/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18085037460,"-5.123,31","1.206,36"
30/5/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18085037485,"-1.262,26","-55,90"
30/5/2025,APLICACAO FINANCEIRA-CAPTACAO - 18091263273,"11.526,03","11.470,13"
30/5/2025,Juros Bancários,"56,05","11.526,18"
02/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18111945987,"-8.852,19","2.673,99"
05/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18158812712,"3.079,41","5.753,40"
09/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18207351180,"-2.675,72","3.077,68"
09/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18207351214,"-2.881,04","196,64"
10/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18220872805,"2.200,68","2.397,32"
11/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18234872146,"1.598,67","3.995,99"
12/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18247920371,"3.507,13","7.503,12"
13/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18275271048,"33.220,30","40.723,42"
16/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18287476103,"-198,77","40.524,65"
16/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18287476117,"-1.669,51","38.855,14"
18/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18320572965,"1.808,50","40.663,64"
20/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18345162552,"1.847,87","42.511,51"
23/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18356062388,"-532,13","41.979,38"
23/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18356062398,"-1.600,00","40.379,38"
23/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18356062408,"-3.509,44","36.869,94"
23/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18356062419,"-33.237,00","3.632,94"
23/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18356062428,"-1.808,69","1.824,25"
23/06/2025,RESG.APLIC.FIN.AVISO PREV-CAPTACAO - 18356062435,"-1.847,94","-23,69"
24/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18368507688,"35,20","11,51"
25/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18379695171,"4.534,12","4.545,63"
26/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18392323244,"3.496,02","8.041,65"
30/06/2025,APLICACAO FINANCEIRA-CAPTACAO - 18432012065,"1.581,76","9.623,41"
30/06/2025,Juros Bancários,"25,09","9.648,50"